,verse,tsne_embedding
325,"17:17 Then Abraham fell upon his face, and laughed, and said in his heart,
Shall a child be born unto him that is an hundred years old? and shall Sarah,
that is ninety years old, bear? 17:18 And Abraham said unto God, O that Ishmael
might live before thee! 17:19 And God said, Sarah thy wife shall bear thee a
son indeed; and thou shalt call his name Isaac: and I will establish my
covenant with him for an everlasting covenant, and with his seed after him.","[2.7575271129608154, 24.688541412353516]"
326,"17:20 And as for Ishmael, I have heard thee: Behold, I have blessed him, and
will make him fruitful, and will multiply him exceedingly; twelve princes shall
he beget, and I will make him a great nation.","[-10.275158882141113, 29.00335121154785]"
327,"17:21 But my covenant will I establish with Isaac, which Sarah shall bear unto
thee at this set time in the next year.","[-6.353126525878906, 27.04732322692871]"
328,"17:22 And he left off talking with him, and God went up from Abraham.","[-9.123575210571289, 17.723621368408203]"
329,"17:23 And Abraham took Ishmael his son, and all that were born in his house,
and all that were bought with his money, every male among the men of Abraham’s
house; and circumcised the flesh of their foreskin in the selfsame day, as God
had said unto him.","[19.863262176513672, 36.49221420288086]"
330,"17:24 And Abraham was ninety years old and nine, when he was circumcised in the
flesh of his foreskin.","[18.459497451782227, 37.2365837097168]"
331,"17:25 And Ishmael his son was thirteen years old, when he was circumcised in
the flesh of his foreskin.","[19.095916748046875, 37.161720275878906]"
332,"17:26 In the selfsame day was Abraham circumcised, and Ishmael his son.","[19.167339324951172, 36.23313903808594]"
333,"17:27 And all the men of his house, born in the house, and bought with money of
the stranger, were circumcised with him.","[20.789766311645508, 36.38945770263672]"
334,"18:1 And the LORD appeared unto him in the plains of Mamre: and he sat in the
tent door in the heat of the day; 18:2 And he lift up his eyes and looked, and,
lo, three men stood by him: and when he saw them, he ran to meet them from the
tent door, and bowed himself toward the ground, 18:3 And said, My LORD, if now
I have found favour in thy sight, pass not away, I pray thee, from thy servant:
18:4 Let a little water, I pray you, be fetched, and wash your feet, and rest
yourselves under the tree: 18:5 And I will fetch a morsel of bread, and comfort
ye your hearts; after that ye shall pass on: for therefore are ye come to your
servant. And they said, So do, as thou hast said.","[-14.056806564331055, -20.08749771118164]"
335,"18:6 And Abraham hastened into the tent unto Sarah, and said, Make ready
quickly three measures of fine meal, knead it, and make cakes upon the hearth.","[-13.833209991455078, -25.39989471435547]"
336,"18:7 And Abraham ran unto the herd, and fetcht a calf tender and good, and gave
it unto a young man; and he hasted to dress it.","[-12.115667343139648, -0.6136577725410461]"
337,"18:8 And he took butter, and milk, and the calf which he had dressed, and set
it before them; and he stood by them under the tree, and they did eat.","[-14.478730201721191, -24.315210342407227]"
338,"18:9 And they said unto him, Where is Sarah thy wife? And he said, Behold, in
the tent.","[7.361123085021973, 24.866313934326172]"
339,"18:10 And he said, I will certainly return unto thee according to the time of
life; and, lo, Sarah thy wife shall have a son. And Sarah heard it in the tent
door, which was behind him.","[7.315343856811523, 24.994901657104492]"
340,"18:11 Now Abraham and Sarah were old and well stricken in age; and it ceased to
be with Sarah after the manner of women.","[4.6050567626953125, 25.66100311279297]"
341,"18:12 Therefore Sarah laughed within herself, saying, After I am waxed old
shall I have pleasure, my lord being old also? 18:13 And the LORD said unto
Abraham, Wherefore did Sarah laugh, saying, Shall I of a surety bear a child,
which am old? 18:14 Is any thing too hard for the LORD? At the time appointed I
will return unto thee, according to the time of life, and Sarah shall have a
son.","[4.82916784286499, 26.236719131469727]"
342,"18:15 Then Sarah denied, saying, I laughed not; for she was afraid. And he
said, Nay; but thou didst laugh.","[6.4029622077941895, 27.4951229095459]"
343,"18:16 And the men rose up from thence, and looked toward Sodom: and Abraham
went with them to bring them on the way.","[-11.439668655395508, 18.67734718322754]"
344,"18:17 And the LORD said, Shall I hide from Abraham that thing which I do; 18:18
Seeing that Abraham shall surely become a great and mighty nation, and all the
nations of the earth shall be blessed in him? 18:19 For I know him, that he
will command his children and his household after him, and they shall keep the
way of the LORD, to do justice and judgment; that the LORD may bring upon
Abraham that which he hath spoken of him.","[-9.703324317932129, 19.58584976196289]"
345,"18:20 And the LORD said, Because the cry of Sodom and Gomorrah is great, and
because their sin is very grievous; 18:21 I will go down now, and see whether
they have done altogether according to the cry of it, which is come unto me;
and if not, I will know.","[-28.12752914428711, 15.393256187438965]"
346,"18:22 And the men turned their faces from thence, and went toward Sodom: but
Abraham stood yet before the LORD.","[-11.251233100891113, 18.606985092163086]"
347,"18:23 And Abraham drew near, and said, Wilt thou also destroy the righteous
with the wicked? 18:24 Peradventure there be fifty righteous within the city:
wilt thou also destroy and not spare the place for the fifty righteous that are
therein? 18:25 That be far from thee to do after this manner, to slay the
righteous with the wicked: and that the righteous should be as the wicked, that
be far from thee: Shall not the Judge of all the earth do right? 18:26 And the
LORD said, If I find in Sodom fifty righteous within the city, then I will
spare all the place for their sakes.","[-27.587909698486328, 16.707473754882812]"
348,"18:27 And Abraham answered and said, Behold now, I have taken upon me to speak
unto the LORD, which am but dust and ashes: 18:28 Peradventure there shall lack
five of the fifty righteous: wilt thou destroy all the city for lack of five?
And he said, If I find there forty and five, I will not destroy it.","[-27.410762786865234, 17.257165908813477]"
349,"18:29 And he spake unto him yet again, and said, Peradventure there shall be
forty found there. And he said, I will not do it for forty’s sake.","[-26.078269958496094, -6.063176155090332]"
350,"18:30 And he said unto him, Oh let not the LORD be angry, and I will speak:
Peradventure there shall thirty be found there. And he said, I will not do it,
if I find thirty there.","[-26.545028686523438, -5.905172824859619]"
351,"18:31 And he said, Behold now, I have taken upon me to speak unto the LORD:
Peradventure there shall be twenty found there. And he said, I will not destroy
it for twenty’s sake.","[-26.96973419189453, -5.8708953857421875]"
352,"18:32 And he said, Oh let not the LORD be angry, and I will speak yet but this
once: Peradventure ten shall be found there. And he said, I will not destroy it
for ten’s sake.","[-27.40320587158203, -5.82332181930542]"
353,"18:33 And the LORD went his way, as soon as he had left communing with Abraham:
and Abraham returned unto his place.","[-9.37684154510498, 18.072153091430664]"
354,"19:1 And there came two angels to Sodom at even; and Lot sat in the gate of
Sodom: and Lot seeing them rose up to meet them; and he bowed himself with his
face toward the ground; 19:2 And he said, Behold now, my lords, turn in, I pray
you, into your servant’s house, and tarry all night, and wash your feet, and ye
shall rise up early, and go on your ways. And they said, Nay; but we will abide
in the street all night.","[-25.976341247558594, 14.033031463623047]"
355,"19:3 And he pressed upon them greatly; and they turned in unto him, and entered
into his house; and he made them a feast, and did bake unleavened bread, and
they did eat.","[-13.08790397644043, -24.64531707763672]"
356,"19:4 But before they lay down, the men of the city, even the men of Sodom,
compassed the house round, both old and young, all the people from every
quarter: 19:5 And they called unto Lot, and said unto him, Where are the men
which came in to thee this night? bring them out unto us, that we may know
them.","[-25.506511688232422, 13.671775817871094]"
357,"19:6 And Lot went out at the door unto them, and shut the door after him, 19:7
And said, I pray you, brethren, do not so wickedly.","[-23.857725143432617, 13.757267951965332]"
358,"19:8 Behold now, I have two daughters which have not known man; let me, I pray
you, bring them out unto you, and do ye to them as is good in your eyes: only
unto these men do nothing; for therefore came they under the shadow of my roof.","[10.998055458068848, 5.064686298370361]"
359,"19:9 And they said, Stand back. And they said again, This one fellow came in to
sojourn, and he will needs be a judge: now will we deal worse with thee, than
with them. And they pressed sore upon the man, even Lot, and came near to break
the door.","[-23.900592803955078, 15.164997100830078]"
360,"19:10 But the men put forth their hand, and pulled Lot into the house to them,
and shut to the door.","[-23.112218856811523, 14.254372596740723]"
361,"19:11 And they smote the men that were at the door of the house with blindness,
both small and great: so that they wearied themselves to find the door.","[-23.073009490966797, 15.879435539245605]"
362,"19:12 And the men said unto Lot, Hast thou here any besides? son in law, and
thy sons, and thy daughters, and whatsoever thou hast in the city, bring them
out of this place: 19:13 For we will destroy this place, because the cry of
them is waxen great before the face of the LORD; and the LORD hath sent us to
destroy it.","[-25.134859085083008, 12.250564575195312]"
363,"19:14 And Lot went out, and spake unto his sons in law, which married his
daughters, and said, Up, get you out of this place; for the LORD will destroy
this city. But he seemed as one that mocked unto his sons in law.","[-24.982398986816406, 12.150094985961914]"
364,"19:15 And when the morning arose, then the angels hastened Lot, saying, Arise,
take thy wife, and thy two daughters, which are here; lest thou be consumed in
the iniquity of the city.","[-24.24086570739746, 11.893233299255371]"
365,"19:16 And while he lingered, the men laid hold upon his hand, and upon the hand
of his wife, and upon the hand of his two daughters; the LORD being merciful
unto him: and they brought him forth, and set him without the city.","[-19.50103187561035, 9.836615562438965]"
366,"19:17 And it came to pass, when they had brought them forth abroad, that he
said, Escape for thy life; look not behind thee, neither stay thou in all the
plain; escape to the mountain, lest thou be consumed.","[-18.508434295654297, 6.998114109039307]"
367,"19:18 And Lot said unto them, Oh, not so, my LORD: 19:19 Behold now, thy
servant hath found grace in thy sight, and thou hast magnified thy mercy, which
thou hast shewed unto me in saving my life; and I cannot escape to the
mountain, lest some evil take me, and I die: 19:20 Behold now, this city is
near to flee unto, and it is a little one: Oh, let me escape thither, (is it
not a little one?) and my soul shall live.","[-22.925914764404297, 12.586054801940918]"
368,"19:21 And he said unto him, See, I have accepted thee concerning this thing
also, that I will not overthrow this city, for the which thou hast spoken.","[-19.19683265686035, 9.398015022277832]"
369,"19:22 Haste thee, escape thither; for I cannot do anything till thou be come
thither. Therefore the name of the city was called Zoar.","[-16.710208892822266, 11.4496431350708]"
370,19:23 The sun was risen upon the earth when Lot entered into Zoar.,"[-23.81351661682129, 9.683442115783691]"
371,"19:24 Then the LORD rained upon Sodom and upon Gomorrah brimstone and fire from
the LORD out of heaven; 19:25 And he overthrew those cities, and all the plain,
and all the inhabitants of the cities, and that which grew upon the ground.","[-27.71115493774414, 14.45400619506836]"
372,"19:26 But his wife looked back from behind him, and she became a pillar of
salt.","[32.21472930908203, -9.416131973266602]"
373,"19:27 And Abraham gat up early in the morning to the place where he stood
before the LORD: 19:28 And he looked toward Sodom and Gomorrah, and toward all
the land of the plain, and beheld, and, lo, the smoke of the country went up as
the smoke of a furnace.","[-11.217291831970215, 17.262802124023438]"
374,"19:29 And it came to pass, when God destroyed the cities of the plain, that God
remembered Abraham, and sent Lot out of the midst of the overthrow, when he
overthrew the cities in the which Lot dwelt.","[-26.238340377807617, 11.684550285339355]"
375,"19:30 And Lot went up out of Zoar, and dwelt in the mountain, and his two
daughters with him; for he feared to dwell in Zoar: and he dwelt in a cave, he
and his two daughters.","[-24.478315353393555, 10.390069961547852]"
376,"19:31 And the firstborn said unto the younger, Our father is old, and there is
not a man in the earth to come in unto us after the manner of all the earth:
19:32 Come, let us make our father drink wine, and we will lie with him, that
we may preserve seed of our father.","[-9.866511344909668, 1.9532278776168823]"
377,"19:33 And they made their father drink wine that night: and the firstborn went
in, and lay with her father; and he perceived not when she lay down, nor when
she arose.","[-8.865867614746094, 2.460493326187134]"
378,"19:34 And it came to pass on the morrow, that the firstborn said unto the
younger, Behold, I lay yesternight with my father: let us make him drink wine
this night also; and go thou in, and lie with him, that we may preserve seed of
our father.","[-9.427332878112793, 2.136429786682129]"
379,"19:35 And they made their father drink wine that night also: and the younger
arose, and lay with him; and he perceived not when she lay down, nor when she
arose.","[-8.72805118560791, 2.557847023010254]"
380,19:36 Thus were both the daughters of Lot with child by their father.,"[-23.548158645629883, 10.98051929473877]"
381,"19:37 And the first born bare a son, and called his name Moab: the same is the
father of the Moabites unto this day.","[0.16352225840091705, 4.288483619689941]"
382,"19:38 And the younger, she also bare a son, and called his name Benammi: the
same is the father of the children of Ammon unto this day.","[29.597549438476562, 8.66244888305664]"
383,"20:1 And Abraham journeyed from thence toward the south country, and dwelled
between Kadesh and Shur, and sojourned in Gerar.","[-11.071622848510742, 12.441832542419434]"
384,"20:2 And Abraham said of Sarah his wife, She is my sister: and Abimelech king
of Gerar sent, and took Sarah.","[6.758543491363525, 18.975019454956055]"
385,"20:3 But God came to Abimelech in a dream by night, and said to him, Behold,
thou art but a dead man, for the woman which thou hast taken; for she is a
man’s wife.","[4.559345722198486, 16.375123977661133]"
386,"20:4 But Abimelech had not come near her: and he said, LORD, wilt thou slay
also a righteous nation? 20:5 Said he not unto me, She is my sister? and she,
even she herself said, He is my brother: in the integrity of my heart and
innocency of my hands have I done this.","[6.858455181121826, 17.702131271362305]"
387,"20:6 And God said unto him in a dream, Yea, I know that thou didst this in the
integrity of thy heart; for I also withheld thee from sinning against me:
therefore suffered I thee not to touch her.","[3.9995076656341553, 16.6907901763916]"
388,"20:7 Now therefore restore the man his wife; for he is a prophet, and he shall
pray for thee, and thou shalt live: and if thou restore her not, know thou that
thou shalt surely die, thou, and all that are thine.","[5.100470066070557, 14.97524356842041]"
389,"20:8 Therefore Abimelech rose early in the morning, and called all his
servants, and told all these things in their ears: and the men were sore
afraid.","[-0.6048354506492615, 18.188621520996094]"
390,"20:9 Then Abimelech called Abraham, and said unto him, What hast thou done unto
us? and what have I offended thee, that thou hast brought on me and on my
kingdom a great sin? thou hast done deeds unto me that ought not to be done.","[1.23469877243042, 17.005229949951172]"
391,"20:10 And Abimelech said unto Abraham, What sawest thou, that thou hast done
this thing? 20:11 And Abraham said, Because I thought, Surely the fear of God
is not in this place; and they will slay me for my wife’s sake.","[2.0297200679779053, 17.34651756286621]"
392,"20:12 And yet indeed she is my sister; she is the daughter of my father, but
not the daughter of my mother; and she became my wife.","[7.447160243988037, 17.696401596069336]"
393,"20:13 And it came to pass, when God caused me to wander from my father’s house,
that I said unto her, This is thy kindness which thou shalt shew unto me; at
every place whither we shall come, say of me, He is my brother.","[7.189521312713623, 16.688364028930664]"
394,"20:14 And Abimelech took sheep, and oxen, and menservants, and womenservants,
and gave them unto Abraham, and restored him Sarah his wife.","[2.0695583820343018, 19.935256958007812]"
395,"20:15 And Abimelech said, Behold, my land is before thee: dwell where it
pleaseth thee.","[-22.278579711914062, -2.6408259868621826]"
396,"20:16 And unto Sarah he said, Behold, I have given thy brother a thousand
pieces of silver: behold, he is to thee a covering of the eyes, unto all that
are with thee, and with all other: thus she was reproved.","[7.586149215698242, 22.085973739624023]"
397,"20:17 So Abraham prayed unto God: and God healed Abimelech, and his wife, and
his maidservants; and they bare children.","[2.917752742767334, 18.90009880065918]"
398,"20:18 For the LORD had fast closed up all the wombs of the house of Abimelech,
because of Sarah Abraham’s wife.","[4.053767204284668, 19.342775344848633]"
399,"21:1 And the LORD visited Sarah as he had said, and the LORD did unto Sarah as
he had spoken.","[7.151365280151367, 23.569543838500977]"
400,"21:2 For Sarah conceived, and bare Abraham a son in his old age, at the set
time of which God had spoken to him.","[3.0246152877807617, 23.465166091918945]"
401,"21:3 And Abraham called the name of his son that was born unto him, whom Sarah
bare to him, Isaac.","[2.5774118900299072, 22.81171226501465]"
402,"21:4 And Abraham circumcised his son Isaac being eight days old, as God had
commanded him.","[18.224708557128906, 36.20030975341797]"
403,"21:5 And Abraham was an hundred years old, when his son Isaac was born unto
him.","[0.9841587543487549, 25.058589935302734]"
404,"21:6 And Sarah said, God hath made me to laugh, so that all that hear will
laugh with me.","[6.524516582489014, 27.64362335205078]"
405,"21:7 And she said, Who would have said unto Abraham, that Sarah should have
given children suck? for I have born him a son in his old age.","[3.6440069675445557, 23.291757583618164]"
406,"21:8 And the child grew, and was weaned: and Abraham made a great feast the
same day that Isaac was weaned.","[0.23930776119232178, 24.404041290283203]"
407,"21:9 And Sarah saw the son of Hagar the Egyptian, which she had born unto
Abraham, mocking.","[4.580256938934326, 23.451021194458008]"
408,"21:10 Wherefore she said unto Abraham, Cast out this bondwoman and her son: for
the son of this bondwoman shall not be heir with my son, even with Isaac.","[4.720189094543457, 21.369171142578125]"
409,21:11 And the thing was very grievous in Abraham’s sight because of his son.,"[-1.8709475994110107, 20.677968978881836]"
410,"21:12 And God said unto Abraham, Let it not be grievous in thy sight because of
the lad, and because of thy bondwoman; in all that Sarah hath said unto thee,
hearken unto her voice; for in Isaac shall thy seed be called.","[4.193486213684082, 21.776952743530273]"
411,"21:13 And also of the son of the bondwoman will I make a nation, because he is
thy seed.","[-14.16146183013916, 5.017670631408691]"
412,"21:14 And Abraham rose up early in the morning, and took bread, and a bottle of
water, and gave it unto Hagar, putting it on her shoulder, and the child, and
sent her away: and she departed, and wandered in the wilderness of Beersheba.","[-10.486376762390137, 14.19890022277832]"
413,"21:15 And the water was spent in the bottle, and she cast the child under one
of the shrubs.","[16.520902633666992, 28.772899627685547]"
414,"21:16 And she went, and sat her down over against him a good way off, as it
were a bow shot: for she said, Let me not see the death of the child. And she
sat over against him, and lift up her voice, and wept.","[10.300010681152344, 24.436010360717773]"
415,"21:17 And God heard the voice of the lad; and the angel of God called to Hagar
out of heaven, and said unto her, What aileth thee, Hagar? fear not; for God
hath heard the voice of the lad where he is.","[-9.107244491577148, 14.867095947265625]"
416,"21:18 Arise, lift up the lad, and hold him in thine hand; for I will make him a
great nation.","[-14.181732177734375, 5.01259708404541]"
417,"21:19 And God opened her eyes, and she saw a well of water; and she went, and
filled the bottle with water, and gave the lad drink.","[15.354697227478027, 28.09999656677246]"
418,"21:20 And God was with the lad; and he grew, and dwelt in the wilderness, and
became an archer.","[3.5496513843536377, 5.848977088928223]"
419,"21:21 And he dwelt in the wilderness of Paran: and his mother took him a wife
out of the land of Egypt.","[12.949240684509277, 12.12369441986084]"
420,"21:22 And it came to pass at that time, that Abimelech and Phichol the chief
captain of his host spake unto Abraham, saying, God is with thee in all that
thou doest: 21:23 Now therefore swear unto me here by God that thou wilt not
deal falsely with me, nor with my son, nor with my son’s son: but according to
the kindness that I have done unto thee, thou shalt do unto me, and to the land
wherein thou hast sojourned.","[0.49776750802993774, 16.508893966674805]"
421,"21:24 And Abraham said, I will swear.","[-1.6338053941726685, 16.029260635375977]"
422,"21:25 And Abraham reproved Abimelech because of a well of water, which
Abimelech’s servants had violently taken away.","[0.4800493121147156, 18.14419937133789]"
423,"21:26 And Abimelech said, I wot not who hath done this thing; neither didst
thou tell me, neither yet heard I of it, but to day.","[-1.2628060579299927, 17.914554595947266]"
424,"21:27 And Abraham took sheep and oxen, and gave them unto Abimelech; and both
of them made a covenant.","[1.4348704814910889, 19.935394287109375]"
425,21:28 And Abraham set seven ewe lambs of the flock by themselves.,"[-14.416092872619629, 24.101341247558594]"
426,"21:29 And Abimelech said unto Abraham, What mean these seven ewe lambs which
thou hast set by themselves? 21:30 And he said, For these seven ewe lambs shalt
thou take of my hand, that they may be a witness unto me, that I have digged
this well.","[-14.390474319458008, 24.07661247253418]"
427,"21:31 Wherefore he called that place Beersheba; because there they sware both
of them.","[-14.447030067443848, 12.313212394714355]"
428,"21:32 Thus they made a covenant at Beersheba: then Abimelech rose up, and
Phichol the chief captain of his host, and they returned into the land of the
Philistines.","[0.9678261876106262, 14.795796394348145]"
429,"21:33 And Abraham planted a grove in Beersheba, and called there on the name of
the LORD, the everlasting God.","[-13.085494041442871, 13.375764846801758]"
430,21:34 And Abraham sojourned in the Philistines’ land many days.,"[-11.647870063781738, 15.479150772094727]"
431,"22:1 And it came to pass after these things, that God did tempt Abraham, and
said unto him, Abraham: and he said, Behold, here I am.","[-7.7244672775268555, 15.944315910339355]"
432,"22:2 And he said, Take now thy son, thine only son Isaac, whom thou lovest, and
get thee into the land of Moriah; and offer him there for a burnt offering upon
one of the mountains which I will tell thee of.","[-4.42739200592041, 19.147933959960938]"
433,"22:3 And Abraham rose up early in the morning, and saddled his ass, and took
two of his young men with him, and Isaac his son, and clave the wood for the
burnt offering, and rose up, and went unto the place of which God had told him.","[-6.034279823303223, 19.319664001464844]"
434,"22:4 Then on the third day Abraham lifted up his eyes, and saw the place afar
off.","[-10.832626342773438, 16.352731704711914]"
435,"22:5 And Abraham said unto his young men, Abide ye here with the ass; and I and
the lad will go yonder and worship, and come again to you.","[-7.43881893157959, 19.33807945251465]"
436,"22:6 And Abraham took the wood of the burnt offering, and laid it upon Isaac
his son; and he took the fire in his hand, and a knife; and they went both of
them together.","[-4.989538192749023, 20.00152015686035]"
437,"22:7 And Isaac spake unto Abraham his father, and said, My father: and he said,
Here am I, my son. And he said, Behold the fire and the wood: but where is the
lamb for a burnt offering? 22:8 And Abraham said, My son, God will provide
himself a lamb for a burnt offering: so they went both of them together.","[-5.1115288734436035, 19.81349754333496]"
438,"22:9 And they came to the place which God had told him of; and Abraham built an
altar there, and laid the wood in order, and bound Isaac his son, and laid him
on the altar upon the wood.","[-5.959239482879639, 18.524200439453125]"
439,"22:10 And Abraham stretched forth his hand, and took the knife to slay his son.","[-3.0293729305267334, 20.48628807067871]"
440,"22:11 And the angel of the LORD called unto him out of heaven, and said,
Abraham, Abraham: and he said, Here am I.","[-7.920334815979004, 15.808911323547363]"
441,"22:12 And he said, Lay not thine hand upon the lad, neither do thou any thing
unto him: for now I know that thou fearest God, seeing thou hast not withheld
thy son, thine only son from me.","[-1.8807454109191895, 21.809051513671875]"
442,"22:13 And Abraham lifted up his eyes, and looked, and behold behind him a ram
caught in a thicket by his horns: and Abraham went and took the ram, and
offered him up for a burnt offering in the stead of his son.","[-5.597781658172607, 20.899486541748047]"
443,"22:14 And Abraham called the name of that place Jehovahjireh: as it is said to
this day, In the mount of the LORD it shall be seen.","[-13.872308731079102, 14.623915672302246]"
444,"22:15 And the angel of the LORD called unto Abraham out of heaven the second
time, 22:16 And said, By myself have I sworn, saith the LORD, for because thou
hast done this thing, and hast not withheld thy son, thine only son: 22:17 That
in blessing I will bless thee, and in multiplying I will multiply thy seed as
the stars of the heaven, and as the sand which is upon the sea shore; and thy
seed shall possess the gate of his enemies; 22:18 And in thy seed shall all the
nations of the earth be blessed; because thou hast obeyed my voice.","[-6.644015789031982, 14.292780876159668]"
445,"22:19 So Abraham returned unto his young men, and they rose up and went
together to Beersheba; and Abraham dwelt at Beersheba.","[-11.826716423034668, 13.827888488769531]"
446,"22:20 And it came to pass after these things, that it was told Abraham, saying,
Behold, Milcah, she hath also born children unto thy brother Nahor; 22:21 Huz
his firstborn, and Buz his brother, and Kemuel the father of Aram, 22:22 And
Chesed, and Hazo, and Pildash, and Jidlaph, and Bethuel.","[16.868711471557617, 19.31844711303711]"
447,"22:23 And Bethuel begat Rebekah: these eight Milcah did bear to Nahor,
Abraham’s brother.","[16.941999435424805, 19.287256240844727]"
448,"22:24 And his concubine, whose name was Reumah, she bare also Tebah, and Gaham,
and Thahash, and Maachah.","[18.385963439941406, 16.661054611206055]"
449,"23:1 And Sarah was an hundred and seven and twenty years old: these were the
years of the life of Sarah.","[0.6081855297088623, 30.96363639831543]"
450,"23:2 And Sarah died in Kirjatharba; the same is Hebron in the land of Canaan:
and Abraham came to mourn for Sarah, and to weep for her.","[-27.23102378845215, -18.546998977661133]"
451,"23:3 And Abraham stood up from before his dead, and spake unto the sons of
Heth, saying, 23:4 I am a stranger and a sojourner with you: give me a
possession of a buryingplace with you, that I may bury my dead out of my sight.","[-32.1693229675293, -21.257749557495117]"
452,"23:5 And the children of Heth answered Abraham, saying unto him, 23:6 Hear us,
my lord: thou art a mighty prince among us: in the choice of our sepulchres
bury thy dead; none of us shall withhold from thee his sepulchre, but that thou
mayest bury thy dead.","[-31.63865089416504, -21.653030395507812]"
453,"23:7 And Abraham stood up, and bowed himself to the people of the land, even to
the children of Heth.","[-2.059157371520996, 13.69448184967041]"
454,"23:8 And he communed with them, saying, If it be your mind that I should bury
my dead out of my sight; hear me, and intreat for me to Ephron the son of
Zohar, 23:9 That he may give me the cave of Machpelah, which he hath, which is
in the end of his field; for as much money as it is worth he shall give it me
for a possession of a buryingplace amongst you.","[-31.604190826416016, -19.81333351135254]"
455,"23:10 And Ephron dwelt among the children of Heth: and Ephron the Hittite
answered Abraham in the audience of the children of Heth, even of all that went
in at the gate of his city, saying, 23:11 Nay, my lord, hear me: the field give
I thee, and the cave that is therein, I give it thee; in the presence of the
sons of my people give I it thee: bury thy dead.","[-32.939083099365234, -20.168703079223633]"
456,23:12 And Abraham bowed down himself before the people of the land.,"[-1.9352360963821411, 13.644559860229492]"
457,"23:13 And he spake unto Ephron in the audience of the people of the land,
saying, But if thou wilt give it, I pray thee, hear me: I will give thee money
for the field; take it of me, and I will bury my dead there.","[-32.51162338256836, -19.25337028503418]"
458,"23:14 And Ephron answered Abraham, saying unto him, 23:15 My lord, hearken unto
me: the land is worth four hundred shekels of silver; what is that betwixt me
and thee? bury therefore thy dead.","[-33.21184158325195, -18.763540267944336]"
459,"23:16 And Abraham hearkened unto Ephron; and Abraham weighed to Ephron the
silver, which he had named in the audience of the sons of Heth, four hundred
shekels of silver, current money with the merchant.","[-33.73189926147461, -18.127696990966797]"
460,"23:17 And the field of Ephron which was in Machpelah, which was before Mamre,
the field, and the cave which was therein, and all the trees that were in the
field, that were in all the borders round about, were made sure 23:18 Unto
Abraham for a possession in the presence of the children of Heth, before all
that went in at the gate of his city.","[-33.88949203491211, -20.588428497314453]"
461,"23:19 And after this, Abraham buried Sarah his wife in the cave of the field of
Machpelah before Mamre: the same is Hebron in the land of Canaan.","[-27.701574325561523, -19.1628360748291]"
462,"23:20 And the field, and the cave that is therein, were made sure unto Abraham
for a possession of a buryingplace by the sons of Heth.","[-33.28124237060547, -21.38726806640625]"
463,"24:1 And Abraham was old, and well stricken in age: and the LORD had blessed
Abraham in all things.","[-4.259972095489502, 14.747488975524902]"
464,"24:2 And Abraham said unto his eldest servant of his house, that ruled over all
that he had, Put, I pray thee, thy hand under my thigh: 24:3 And I will make
thee swear by the LORD, the God of heaven, and the God of the earth, that thou
shalt not take a wife unto my son of the daughters of the Canaanites, among
whom I dwell: 24:4 But thou shalt go unto my country, and to my kindred, and
take a wife unto my son Isaac.","[6.523592472076416, 10.449753761291504]"
465,"24:5 And the servant said unto him, Peradventure the woman will not be willing
to follow me unto this land: must I needs bring thy son again unto the land
from whence thou camest? 24:6 And Abraham said unto him, Beware thou that thou
bring not my son thither again.","[5.518282890319824, 11.902398109436035]"
466,"24:7 The LORD God of heaven, which took me from my father’s house, and from the
land of my kindred, and which spake unto me, and that sware unto me, saying,
Unto thy seed will I give this land; he shall send his angel before thee, and
thou shalt take a wife unto my son from thence.","[5.260377883911133, 9.331002235412598]"
467,"24:8 And if the woman will not be willing to follow thee, then thou shalt be
clear from this my oath: only bring not my son thither again.","[5.440722942352295, 11.845317840576172]"
468,"24:9 And the servant put his hand under the thigh of Abraham his master, and
sware to him concerning that matter.","[-2.2264339923858643, 10.741620063781738]"
469,"24:10 And the servant took ten camels of the camels of his master, and
departed; for all the goods of his master were in his hand: and he arose, and
went to Mesopotamia, unto the city of Nahor.","[-15.316651344299316, -0.19498507678508759]"
470,"24:11 And he made his camels to kneel down without the city by a well of water
at the time of the evening, even the time that women go out to draw water.","[13.97092056274414, 24.029563903808594]"
471,"24:12 And he said O LORD God of my master Abraham, I pray thee, send me good
speed this day, and shew kindness unto my master Abraham.","[-3.9167795181274414, 12.465010643005371]"
472,"24:13 Behold, I stand here by the well of water; and the daughters of the men
of the city come out to draw water: 24:14 And let it come to pass, that the
damsel to whom I shall say, Let down thy pitcher, I pray thee, that I may
drink; and she shall say, Drink, and I will give thy camels drink also: let the
same be she that thou hast appointed for thy servant Isaac; and thereby shall I
know that thou hast shewed kindness unto my master.","[15.671378135681152, 25.908334732055664]"
473,"24:15 And it came to pass, before he had done speaking, that, behold, Rebekah
came out, who was born to Bethuel, son of Milcah, the wife of Nahor, Abraham’s
brother, with her pitcher upon her shoulder.","[14.519010543823242, 17.215290069580078]"
474,"24:16 And the damsel was very fair to look upon, a virgin, neither had any man
known her: and she went down to the well, and filled her pitcher, and came up.","[16.93504524230957, 25.098630905151367]"
475,"24:17 And the servant ran to meet her, and said, Let me, I pray thee, drink a
little water of thy pitcher.","[14.3272705078125, 27.364946365356445]"
476,"24:18 And she said, Drink, my lord: and she hasted, and let down her pitcher
upon her hand, and gave him drink.","[14.101953506469727, 26.931116104125977]"
